t,EEA1_1,EEA1_2,EEA1_3,EEA1_4,EEA1_5,EEA1_6,EEA1_7,EEA1_8,EEA1_9,EEA1_10,EEA1_11,EEA1_12,EEA1_13,EEA1_14,EEA1_15,EEA1_16,EEA1_17,EEA1_18,EEA1_19,EEA1_20,EEA1_21,EEA1_22,EEA1_23,EEA1_24,EEA1_25,EEA1_26,EEA1_27,EEA1_28,EEA1_29,EEA1_30,EEA1_31,EEA1_32,EEA1_33,EEA1_34,EEA1_35,EEA1_36,EEA1_37,EEA1_38,EEA1_39,EEA1_40,EEA1_41,EEA1_42,EEA1_43,EEA1_44,EEA1_45,EEA1_46,EEA1_47,EEA1_48,EEA1_49,EEA1_50,EEA1_51,EEA1_52,EEA1_53,EEA1_54,EEA1_55,EEA1_56,EEA1_57,EEA1_58,EEA1_59,EEA1_60,EEA1_61,EEA1_62,EEA1_63,EEA1_64,EEA1_65,EEA1_66,EEA1_67,EEA1_68,EEA1_69,EEA1_70,EEA1_71,EEA1_72,EEA1_73,EEA1_74,EEA1_75,EEA1_76,EEA1_77,EEA1_78,EEA1_79,EEA1_80,EEA1_81,EEA1_82,EEA1_83,EEA1_84,EEA1_85,EEA1_86,EEA1_87,EEA1_88,EEA1_89,EEA1_90,EEA1_91,EEA1_92,EEA1_93,EEA1_94,EEA1_95,EEA1_96,EEA1_97,EEA1_98,EEA1_99,EEA1_100,EEA1_101,EEA1_102,EEA1_103,EEA1_104,EEA1_105,EEA1_106,EEA1_107,EEA1_108,EEA1_109,EEA1_110,EEA1_111,EEA1_112,EEA1_113,EEA1_114,EEA1_115,EEA1_116,EEA1_117,EEA1_118,EEA1_119,EEA1_120,EEA1_121,EEA1_122,EEA1_123,EEA1_124,EEA1_125,EEA1_126,EEA1_127,EEA1_128,EEA1_129,EEA1_130,EEA1_131,EEA1_132,EEA1_133,EEA1_134,EEA1_135,EEA1_136,EEA1_137,EEA1_138,EEA1_139,EEA1_140,EEA1_141,EEA1_142,EEA1_143,EEA1_144,EEA1_145,EEA1_146,EEA1_147,EEA1_148,EEA1_149,EEA1_150,EEA1_151,EEA1_152,EEA1_153,EEA1_154,EEA1_155,EEA1_156,EEA1_157,EEA1_158,EEA1_159,EEA1_160
2.00E-07,0.48399992,-0.26728906,0.04162706,0.21457441,0.17180634,0.24143803,-0.19773654,0.35911054,0.17092859,0.20944019,0.25802504,-0.08223437,0.30419627,0.23320278,-0.01808715,0.10533213,0.09205875,0.39827689,0.53364755,0.1337324,0.30503574,-0.08330635,0.40765071,-0.02360241,-0.0058162,-0.16514673,0.27654546,0.59601604,0.33822155,-0.11925891,0.21949191,0.15334099,-0.06083583,0.53676279,0.4275624,-0.09959468,-0.11206241,0.16566936,0.30114477,0.37099905,0.37009307,0.43973697,0.19429684,0.11149284,-0.35733475,0.0550015,0.3941955,0.35213734,0.24173334,0.35021479,0.19846784,0.33535112,0.48041796,0.00511242,-0.20728853,0.29871014,0.33282821,0.15846463,0.19502341,0.48821704,0.0604796,0.63893432,0.09613333,0.09480365,0.35914211,0.01630265,0.03387699,0.08418727,-0.24460987,0.56068473,0.20598061,-0.03067449,0.21080615,0.152311,0.07161852,0.29703704,0.30434975,0.37049397,0.20717739,0.44292219,-0.21518904,0.55340119,0.228549,-0.02032789,-0.00035337,0.39575311,0.21744017,-0.11418009,0.24351135,0.36050923,0.31508968,0.41176275,0.27436781,0.19111259,0.289474,0.11255717,-0.10091715,0.07569086,0.36446029,0.13732202,0.15415669,0.22834119,0.11251263,-0.08873933,0.33065262,0.33811027,0.41998746,0.27656453,0.18477606,0.3198926,0.16864943,0.49189633,0.29241878,0.12526961,0.19856302,0.25037713,0.4984976,0.23112321,0.15903139,-0.18149084,0.07703735,0.46325574,0.16989781,0.47649178,-0.30087388,0.1378684,-0.09841921,-0.09718134,0.34726045,0.37145914,0.11711195,0.00164526,-0.01368342,0.34153017,0.43419583,0.22812638,0.3055764,0.1114499,0.16014788,-0.09120481,0.31962582,0.14229016,0.15268549,0.74286779,0.05956301,0.18153095,0.35506554,0.15431865,0.39694682,0.27139174,0.24152415,0.17490474,0.21990628,0.16868112,0.06789015,0.32117528,0.05135893,-0.01399882,0.3381418,-0.00939587
4.00E-07,0.16599994,0.51775838,0.4253844,0.21457441,-0.16299547,0.08625827,-0.09076808,0.51012282,0.17092859,0.48431296,-0.05648122,0.34965534,0.24985476,0.23320278,-0.01808715,0.36850645,0.19606434,0.24291279,0.38523005,-0.16202388,0.25283431,0.37504047,-0.24590141,-0.48610653,0.59069408,-0.21732506,0.32564336,0.29676303,-0.12500898,0.55424899,0.12193256,0.39362037,0.51309783,0.24861977,0.09446451,0.18474384,-0.4080416,0.07241581,0.25295422,0.08734407,-0.17794416,0.1610782,-0.02686924,0.51163026,0.65256778,-0.25270727,-0.0850592,0.11901021,0.19738572,0.43732542,0.19846784,0.37842697,0.08854262,-0.08228866,0.16820638,0.13113464,-0.16698237,0.28258584,0.1538157,0.32732871,0.26441798,-0.01663941,-0.02130953,0.41918991,0.32138816,0.3821716,-0.04565201,0.2849627,0.51078026,0.09247931,0.27907034,-0.36621024,0.09729307,0.52402423,0.40418978,0.07468783,-0.02173769,0.25937284,0.41412208,0.22648387,-0.25256099,0.00108077,0.12616991,0.04964869,0.10305835,0.10191035,-0.0192843,0.18109322,0.50530321,0.19854385,0.47947589,0.30588055,0.10668784,0.69263368,-0.05648244,-0.04196466,0.20911141,0.10828755,0.07887558,0.49476608,0.09176985,0.17120904,0.17264845,0.31975683,-0.09273685,-0.1854981,0.24248903,0.38757015,0.18477606,0.20256881,0.11164214,0.1121409,0.1488167,0.15340135,0.39367793,0.27879479,0.13774817,0.31319809,-0.06712108,-0.02306971,-0.00581168,0.46325574,-0.03808403,0.0469669,0.10246812,-0.27842492,-0.02114085,0.21235648,0.19180732,0.11748523,0.24700869,0.15574453,0.01297378,0.21497072,0.33355051,0.25425673,0.25335334,0.30904099,0.13546388,0.07620482,0.09968818,0.04075326,0.07910982,0.49739345,0.05956301,-0.05477524,0.21242706,0.03151879,0.39694682,0.38697281,0.14414971,0.06611727,0.03917942,0.50954644,0.21351153,0.18210419,0.319791,0.05173459,-0.03100076,0.13211901
6.00E-07,0.21899994,0.04672992,0.15127201,0.26978233,0.22760665,0.13798486,0.28362154,0.15776083,0.59672081,0.3193893,0.5725313,0.13371049,0.19551324,0.60852537,0.47286927,6.24E-05,-0.11595244,0.19112475,0.73153756,-0.01414574,0.30503574,0.17133077,0.40765071,0.07917629,0.04389299,-0.16514673,0.57113288,-0.15211648,0.18381137,0.39882409,0.02437321,0.53778799,-0.06083583,-0.13557093,0.28480616,-0.05220493,0.43056612,0.16566936,-0.08437961,0.1346199,0.55277214,-0.07113744,-0.02686924,0.3337914,0.10171185,0.49458545,0.21992106,0.39876276,-0.0687,0.30665947,0.28407269,0.2061236,0.04500091,0.26731565,0.04304141,-0.07833474,0.45778085,0.2412121,-0.17584593,0.08599622,0.18284263,-0.05761277,0.52675713,-0.0268412,0.54791185,0.34151949,0.03387699,0.12434236,0.27223601,0.13149643,0.38870495,0.34214302,-0.01622,0.52402423,0.14552324,0.07468783,0.05072619,9.02E-05,0.13819582,0.26255692,0.30801826,0.07012082,0.09204355,0.329555,0.10305835,0.17537104,0.14980461,0.11547693,-0.01828051,0.71683308,0.11782623,0.023528,0.10668784,-0.05964796,0.35237517,-0.01106029,0.1471057,0.27127101,-0.23844077,0.10482711,0.06057642,0.11407689,0.11251263,0.16264292,0.14919999,-0.24367681,0.12415674,0.02680191,0.24119397,0.17323786,0.08313849,0.43764556,0.60834337,0.18153309,0.56091928,0.13670648,0.52624755,-0.06981802,0.46999103,-0.07587675,0.40843346,0.12357137,0.03990916,0.18119342,-0.00508975,0.05460974,0.18493476,-0.04559171,0.26953389,0.06669045,0.27298804,0.23279417,-0.04034063,0.13903505,-0.14451477,0.17586568,0.3055764,0.01265435,0.13546388,0.26753013,0.49068843,0.04075326,0.12816027,0.30101398,-0.01267992,0.06337785,-0.02530373,0.03151879,-0.14762567,0.34074038,0.16849332,0.30544972,0.03917942,0.16868112,0.09216038,0.34435379,0.36452968,0.13937914,0.17664193,0.15570482
8.00E-07,0.48399992,-0.21495256,0.58985183,-0.11667316,0.06020574,0.18971144,0.49755846,-0.14426373,0.75639289,-0.12040714,0.83461985,0.07972428,-0.18487733,0.17958527,-0.07263787,0.26323672,-0.16795524,-0.01602738,0.58312005,0.03514697,0.09623002,-0.03237893,0.45792395,0.43890171,0.14331137,0.30445824,0.47293707,-0.05236548,0.33822155,0.60605729,0.17071223,0.34556449,-0.11301162,0.05652442,0.33239157,0.37430286,0.33190639,0.21229613,-0.03618906,-0.14903507,0.18741399,0.34685072,0.23853006,0.24487198,0.33123516,0.18687668,-0.34647086,0.07238479,0.28608096,0.13243821,0.19846784,-0.0954073,0.21916773,0.22361512,0.29337135,0.25681626,0.37447909,0.15846463,-0.25826133,0.52843912,0.26441798,-0.05761277,-0.02130953,0.33809335,-0.05615131,0.13825896,-0.08541651,0.16449744,-0.00606562,0.24854778,-0.19601293,-0.21708324,0.32431923,0.37533894,-0.1131433,0.00057143,0.4492775,0.11121133,-0.17222122,0.19041081,0.19590241,0.20820093,0.02379083,0.18960185,0.20647007,0.32229242,0.42034687,0.24670951,0.50530321,0.23093693,0.34796692,0.05882206,0.10668784,0.15976752,0.44672693,0.20527027,-0.00790858,-0.21767938,0.11060721,-0.1226373,-0.15777755,-0.14301778,-0.12803064,-0.05731655,-0.06249474,0.27993156,-0.23084012,0.16555892,0.07194024,0.29056165,0.05463485,-0.05061142,0.29241878,0.23779657,0.2821837,0.02303583,0.58174746,-0.06981802,0.13076233,-0.23429788,-0.0886607,-0.03320603,0.09190462,0.15434812,0.10246812,-0.05640181,0.08189695,0.13497202,0.13998961,-0.21268086,0.22102934,0.15574453,0.14625981,0.41746584,0.30838918,0.20199603,0.07057265,0.30904099,0.28356787,0.50668675,0.36850085,0.01536903,0.0545846,0.39920372,0.34853474,0.08700847,0.25997322,0.4490383,-0.05291741,-0.23716496,0.3632422,0.3924797,0.15213371,-0.07479412,0.23778176,0.11256865,0.45400703,0.18320142,0.13049911,0.08494738
1.00E-06,0.00699995,0.41308539,0.15127201,0.87706954,0.17180634,0.55179753,-0.09076808,0.4597854,-0.04196752,0.26441474,0.25802504,0.13371049,-0.40224338,0.17958527,0.2001157,0.31587158,0.24806714,0.08754869,0.08839504,0.28161054,0.46164003,0.0185485,0.40765071,0.23334433,-0.25436215,0.72188488,-0.06713986,-0.25186748,0.28675149,-0.01564231,0.41461062,0.24945274,0.46092204,0.6808343,0.33239157,0.13735409,0.23324666,-0.02083774,0.10838258,0.04006824,0.37009307,0.1610782,-0.02686924,-0.0218863,0.10171185,0.0550015,0.08921524,0.11901021,0.01999524,0.17599353,0.32687511,-0.0954073,-0.21624932,0.13621404,0.08476307,0.29871014,-0.04202972,0.11709089,0.19502341,0.44799495,0.10126727,-0.09858613,-0.06045715,0.33809335,0.32138816,0.09760686,0.47128648,0.2849627,0.23247863,0.20953067,0.02325628,0.19301602,0.09729307,-0.14505958,0.03466615,0.07468783,0.12319006,0.44457473,0.20717739,0.19041081,0.53224996,-0.20603939,0.26267536,0.53948474,0.10305835,0.54267449,0.04835126,0.37794209,0.21078737,0.03657846,0.11782623,-0.04706014,0.3414398,0.06573232,0.22657283,0.20527027,0.20911141,0.27127101,0.04714394,0.23480676,0.21654354,0.28547333,0.38312381,0.60256187,0.08871578,0.22175285,-0.29000627,0.19331033,0.21298501,0.02658313,0.11164214,-0.02348604,0.3211392,0.37845527,0.25431014,0.36404778,0.27649795,-0.04245972,-0.03885202,0.18815846,0.15988638,0.28034877,0.16989781,0.42280117,0.34447331,-0.0841547,-0.02114085,0.05758757,0.37316931,0.16828001,-0.01278479,0.30984381,0.0929454,0.24028261,0.13225986,0.28038708,0.17501876,0.16084767,0.06141189,0.24361446,-0.09581194,0.04075326,0.29983683,0.08008708,0.10772497,-0.007514,0.4026117,0.22799856,0.30223857,0.17892689,-0.12363001,0.06611727,0.46840571,-0.12348916,0.06789015,0.13574717,-0.1947038,0.2927571,0.19971334,-0.03298168
1.20E-06,0.53699992,-0.05794307,0.86396421,-0.0062573,0.39500755,0.08625827,0.23013731,-0.09392631,0.49027275,0.26441474,0.10077191,0.1876967,0.08683022,0.01873273,0.30921713,-0.10520732,-0.21995804,0.19112475,0.18734004,-0.11273116,0.4094386,-0.08330635,0.10601127,0.07917629,0.24272975,0.51317156,0.17834966,-0.10224098,-0.38235928,0.19159089,0.17071223,0.39362037,0.82615255,0.2966436,-0.14346256,0.2321336,0.23324666,0.25892291,0.30114477,-0.10175924,0.18741399,0.25396446,-0.20380211,-0.11080573,-0.08190679,0.09895989,0.13278385,0.11901021,0.24173334,0.48088074,0.24127027,0.80918539,0.39333455,0.26731565,0.08476307,0.13113464,0.79098791,0.15846463,-0.01101511,-0.11511419,-0.18424646,0.10628066,0.2527238,0.41918991,-0.01839737,0.3821716,-0.08541651,0.00387711,0.23247863,0.52166761,0.20598061,0.15573427,0.51350769,0.33816762,-0.07619093,-0.07354497,0.01449425,0.18529208,-0.17222122,0.08219165,0.15853046,0.27724098,0.29680172,0.08463698,0.34435236,0.13864069,0.42034687,0.21390136,0.47257923,0.06897154,0.0191945,0.023528,0.3749758,0.06573232,0.25802342,-0.07286902,0.11610284,-0.05469591,-0.14324586,0.20231185,0.24773697,-0.1144517,0.17264845,0.0369518,0.23992631,0.30902091,0.18332289,-0.0009495,0.04373129,0.11457597,0.08313849,0.08501551,0.26369836,0.06900613,0.00344811,0.44930076,-0.08425147,0.09433174,0.18730044,0.42579015,0.10465369,0.22808964,-0.06408176,0.28857464,0.18313651,0.24887995,0.0561375,0.26394612,0.3213516,0.14288262,0.03917391,0.0786949,0.27954583,0.11372316,0.18258252,0.07134429,0.22724182,0.18554656,0.0120439,-0.06728915,0.02637564,0.24382706,-0.01899107,0.44829858,-0.08492285,0.15790033,0.42638478,-0.01760115,0.3495927,0.57190252,0.19283693,0.08787476,0.17472457,0.07129102,0.01934968,-0.09603797,-0.03811843,0.13937914,0.24585616,0.06136157
1.40E-06,-0.41700003,0.41308539,-0.2873078,0.04895062,-0.21879577,0.3448912,-0.25122077,0.00674855,0.3838247,0.15446563,0.10077191,0.02573806,-0.13053582,0.39405532,0.14556499,-0.05257246,0.14406154,-0.01602738,0.58312005,0.38019597,0.14843145,0.17133077,0.35737747,0.28473367,0.39185732,0.20010158,0.42383917,-0.20199198,-0.17647904,0.13978259,0.21949191,0.39362037,-0.11301162,0.10454826,0.18963533,0.04257458,-0.01340267,0.16566936,0.10838258,0.46555071,0.09607445,0.02174882,0.28276327,-0.15526544,0.42304448,0.40666866,0.08921524,0.35213734,0.41912382,0.43732542,0.54088723,0.42150281,0.21916773,0.35471673,-0.08212356,0.17302851,0.08292292,-0.00703032,0.44226963,0.36755079,-0.02109576,0.35212081,-0.06045715,0.4597382,0.24588027,-0.14630578,0.47128648,0.48573812,0.15296388,0.05346219,0.27907034,0.26757952,0.13513076,0.22665365,-0.03923857,-0.03648677,-0.05796962,-0.14807131,-0.10323966,0.37077608,0.15853046,0.07012082,0.53568625,0.22459014,0.10305835,0.06518,0.14980461,0.01705249,0.11261542,-0.09299384,0.28221244,0.16470427,0.24083182,-0.12233809,0.289474,0.01984407,0.17810856,0.17348093,0.26926539,0.10482711,0.43489751,0.17120904,0.05237681,0.31975683,-0.24394737,0.33811027,0.12415674,0.02680191,0.24119397,0.17323786,-0.05937973,-0.1048622,-0.10966706,0.37845527,0.25431014,0.22195947,0.05449831,0.20376492,0.15903139,0.16175494,0.18750272,0.2542192,0.27388872,-0.11410493,0.02179972,0.08236262,0.08189695,0.08338239,0.06226305,0.14288262,0.06515326,0.18142775,0.19957422,0.21497072,0.23290519,0.20199603,0.1227957,0.06205212,0.11077989,0.45885543,0.02637564,-0.06078365,0.15268549,-0.01810266,0.08364399,0.53599023,-0.00153065,0.1051987,0.11282205,0.31762417,0.04677526,0.28369222,0.19731542,0.19302864,0.16497107,-0.02650243,0.40926835,0.2927571,0.01514206,0.32080551
1.60E-06,0.00699995,-0.00560658,0.31573944,-0.17188109,0.28340695,-0.06892148,0.39059,0.05708598,0.11770456,0.20944019,-0.05648122,0.45762777,0.03248871,0.17958527,0.52741998,6.24E-05,0.71609232,0.13933672,0.58312005,0.18302511,-0.1125757,-0.23608863,0.40765071,0.07917629,0.78953084,0.25227991,0.22744756,0.19701203,0.08087125,0.13978259,0.51216997,0.15334099,0.09569153,0.15257209,0.33239157,0.18474384,0.47989599,0.11904259,0.15657313,0.27644739,0.23308376,0.06819195,0.54816257,-0.0218863,0.2853305,-0.07687369,0.26348967,0.07238479,0.24173334,-0.08533837,0.79770176,0.2061236,0.00145921,0.26731565,0.20992804,0.34060401,-0.12533149,-0.00703032,-0.13463822,0.24688454,0.01969192,-0.09858613,0.21357618,0.25699678,0.09486448,0.30086739,-0.32400351,0.00387711,0.23247863,0.05346219,-0.08637833,0.26757952,0.02161769,0.41251026,-0.1131433,0.25997884,0.12319006,-0.18511169,0.41412208,0.29862997,-0.06570124,0.38080106,0.09204355,-0.09030447,-0.06929452,-0.11847172,0.28507574,-0.01575565,0.07989144,0.45768847,0.0191945,0.1294102,0.30790381,0.19111259,0.10077049,0.42160083,0.42613141,0.23867432,0.17407048,0.16981694,0.12296327,0.11407689,0.26285218,-0.02589377,-0.03225264,0.45446768,0.15373981,0.05455331,-0.01268662,0.20256881,0.42518223,0.05789013,0.43602087,0.09713787,0.17068946,0.16512414,-0.16750134,0.42263127,0.41345291,0.39938663,-0.0886607,-0.1377243,-0.09007948,0.12750281,0.26380491,-0.19516625,0.28797256,0.00599793,0.19180732,0.04129305,0.22102934,0.23279417,0.27954583,0.51871341,-0.11935344,-0.05930745,0.25335334,0.06205212,-0.0126401,0.38710844,-0.24243703,0.29459551,0.27531161,0.25191911,0.03548203,0.13426971,-0.12039605,0.08063873,-0.02924034,-0.12158389,0.04677526,0.10963226,0.26508799,0.3634613,0.21351153,-0.00332391,0.09609761,0.27084597,0.08435629,0.2972197
1.80E-06,0.00699995,0.04672992,0.26091697,-0.0062573,0.56240846,-0.12064806,0.33710577,0.05708598,0.06448054,0.15446563,-0.00406351,0.07972428,0.52156231,0.12596776,0.14556499,0.36850645,-0.16795524,0.39827689,-0.01054997,0.03514697,0.4094386,-0.08330635,0.55847043,0.38751237,0.24272975,0.04356659,0.08015385,0.19701203,0.33822155,0.19159089,0.12193256,0.10528512,0.46092204,-0.03952326,0.33239157,0.13735409,0.08525706,-0.11409129,0.30114477,0.27644739,0.50710237,-0.16402369,0.32699649,-0.0218863,0.05580719,-0.0329153,0.04564663,0.35213734,-0.20174285,0.13243821,0.07006057,0.03382023,0.30625114,0.26731565,-0.0404019,0.04734688,0.29117733,0.07571715,-0.09343052,0.40777287,-0.22503414,-0.01663941,0.17442856,-0.18903433,0.39689606,0.34151949,0.51105098,0.00387711,0.55053764,0.2875649,-0.01328859,0.00660726,-0.01622,0.26382497,0.29333269,0.66761905,0.34058169,0.11121133,0.44861286,0.58721441,0.23327436,0.20820093,-0.14684097,0.57447303,0.48223465,-0.11847172,-0.08691987,-0.11418009,0.40713127,0.26333,0.31508968,0.23529241,0.27436781,0.00304218,0.03786932,0.267079,-0.13192001,-0.31546946,0.26926539,0.36478642,0.09176985,0.25690726,0.44325963,-0.02589377,0.2096842,0.33811027,0.41998746,0.22106173,0.1001492,0.2612307,-0.03087608,0.22064245,0.12009628,0.01274265,0.47729861,-0.03379949,0.05449831,0.14904833,0.07422421,0.16175494,-0.03342802,0.20196007,0.01391143,-0.06041432,-0.19331601,0.16562129,0.28797256,0.26394612,-0.11909893,0.34606175,-0.09072283,0.05301169,0.17291701,0.44277774,0.0819372,0.01908359,0.01834959,0.13614878,0.30825187,0.10012049,0.00193812,0.01536903,0.20173594,0.20282425,0.27629181,0.39420652,0.18865398,0.03151879,0.08914498,-0.09846767,-0.00191196,0.17490474,0.17472457,0.43650387,0.11643061,0.43706784,0.16320562,0.31466824,0.13049911,0.17929063
2.00E-06,0.11299994,0.15140291,0.80914174,-0.17188109,-0.27459607,0.03453169,-0.304705,-0.09392631,0.01125651,0.20944019,-0.26615206,0.24168292,0.41287929,0.17958527,0.69107212,0.10533213,-0.06394965,0.19112475,0.03892254,0.28161054,-0.21697856,-0.33794348,0.30710423,-0.2291598,0.39185732,-0.21732506,0.42383917,0.09726103,-0.02206887,0.08797429,-0.07318615,0.44167624,0.51309783,0.15257209,0.4275624,0.37430286,0.33190639,-0.11409129,0.20476368,-0.10175924,-0.04093485,0.1610782,-0.02686924,0.11149284,-0.03600213,0.23083508,0.04564663,-0.06749149,0.1530381,0.08888289,0.24127027,0.07689607,-0.2162328,-0.16968974,0.00131975,0.04734688,0.29117733,-0.00703032,-0.05222282,0.28710663,0.14205495,0.18822738,0.21357618,0.13535193,0.28363421,0.05695475,-0.00588751,0.24480761,-0.12533774,-0.02457204,0.24252548,0.00660726,0.05945538,0.41251026,0.21942797,0.22292063,0.05072619,-0.07399056,0.03472347,0.33470303,0.71910971,0.24272095,0.33092808,-0.05531618,0.0341172,0.24883173,-0.05310209,0.04986064,0.11261542,-0.22256615,-0.04655998,-0.08235421,0.14022383,0.00304218,0.16367166,0.05074844,0.11610284,0.10828755,0.45965519,-0.41509153,-0.15777755,0.37117156,0.05237681,0.25691127,0.1794421,0.13448479,0.24248903,-0.0287009,0.04373129,0.23189976,0.25416036,-0.02348604,0.12009628,0.35032353,0.1428159,0.39246544,0.13774817,0.06697345,0.44172197,0.02973733,0.07703735,-0.0593356,0.16989781,-0.08725963,0.21002598,0.16562129,0.1076564,0.28974094,0.26953389,-0.00950173,0.01319456,0.30984381,-0.04034063,0.11372316,0.15742119,0.25425673,-0.03387346,0.1114499,0.0120439,0.24361446,-0.26687454,0.54843777,-0.04351629,0.17827681,-0.06084188,0.11063909,0.42638478,-0.04216112,-0.05291741,0.04022961,-0.24534807,0.32720721,-0.02859315,0.19302864,0.52902453,0.27481825,0.16320562,0.00791232,0.49964167,0.08494738
