t,EEA1_A488,EEA1_A647,EEA1_A488_A647
2.00E-07,1.300840008,1.573907261,1.074613366
4.00E-07,1.121044638,1.339680561,1.013728585
6.00E-07,1.092134195,1.290656782,1.021260976
8.00E-07,1.056146635,1.265354257,0.99331546
1.00E-06,1.062802589,1.235771465,0.93715265
1.20E-06,1.052178674,1.226828073,1.045155291
1.40E-06,1.048749432,1.204032209,0.977362201
1.60E-06,1.037392086,1.204935347,1.035778653
1.80E-06,1.037557671,1.172691563,0.980431583
2.00E-06,1.036199421,1.181965017,1.075486299
2.20E-06,1.016546493,1.161884415,0.9972005
2.40E-06,1.01544831,1.149247188,1.036049592
2.60E-06,1.025131065,1.155552828,1.006681354
2.80E-06,1.010302462,1.152684187,0.952507816
3.00E-06,1.012438576,1.131449389,1.007891663
3.20E-06,1.002533963,1.13209297,0.991591618
3.40E-06,1.000600828,1.11939257,0.928732146
3.60E-06,1.001834143,1.112170629,1.023285792
3.80E-06,1.000206808,1.090628221,0.993675015
4.00E-06,0.984099886,1.116057241,1.006484095
4.20E-06,0.997724644,1.080664962,0.997960994
4.40E-06,0.983947962,1.08865572,0.910422039
4.60E-06,0.988646084,1.06167237,0.91066449
4.80E-06,0.977673031,1.078347229,0.955658067
5.00E-06,0.983534392,1.060944113,1.002426034
5.20E-06,0.982296621,1.059088813,0.908606829
5.40E-06,0.975191125,1.051667385,0.913449114
5.60E-06,0.969242173,1.046161504,1.052033356
5.80E-06,0.977113147,1.030810135,0.95644453
6.00E-06,0.978119378,1.053244511,1.023783414
6.20E-06,0.973723379,1.037709058,0.976290763
6.40E-06,0.961941345,1.032320462,0.954979119
6.60E-06,0.956654301,1.030966294,0.972331173
6.80E-06,0.963899957,1.024273332,0.961875851
7.00E-06,0.963584073,0.99663217,1.074552607
7.20E-06,0.953123076,0.997691447,1.104937929
7.40E-06,0.965066309,0.995582502,1.051910606
7.60E-06,0.953567549,1.00290672,1.043719881
7.80E-06,0.949734924,1.001571509,1.004205241
8.00E-06,0.945112052,0.98670893,0.886688316
8.40E-06,0.94992745,0.980003545,0.979571051
8.80E-06,0.94713053,0.973655729,0.932670688
9.20E-06,0.93592599,0.95968733,1.008331635
9.60E-06,0.94328499,0.946111816,0.982662104
1.00E-05,0.937385589,0.955633724,0.956414015
1.04E-05,0.929495791,0.955579717,1.013941223
1.08E-05,0.935546389,0.941738267,1.009431693
1.12E-05,0.927079737,0.937027832,1.006153896
1.16E-05,0.927957758,0.923961456,0.972707256
1.20E-05,0.919294689,0.913437682,0.984789394
1.24E-05,0.918467247,0.908452651,0.980344776
1.28E-05,0.914246131,0.922933112,0.952911754
1.32E-05,0.91509449,0.905083091,0.917027459
1.36E-05,0.916387173,0.898261775,1.000151682
1.40E-05,0.906988341,0.904393001,1.031951193
1.44E-05,0.898037222,0.881145108,0.937141043
1.48E-05,0.906297911,0.88222684,0.942871001
1.52E-05,0.903197381,0.865831544,0.976246946
1.56E-05,0.893342008,0.868548858,1.007155593
1.60E-05,0.904147184,0.858526198,0.965697018
1.68E-05,0.895990189,0.862298464,0.958940818
1.76E-05,0.890846289,0.851287322,0.993176231
1.84E-05,0.881166323,0.839551386,0.97735245
1.92E-05,0.880679879,0.841654362,0.966838433
2.00E-05,0.874325976,0.835596565,0.972038533
2.08E-05,0.868670168,0.822172639,0.959813845
2.16E-05,0.871230424,0.82308497,0.978269082
2.24E-05,0.866140939,0.820655549,1.004113292
2.32E-05,0.858864517,0.81519958,0.981847635
2.40E-05,0.859727689,0.802146031,0.960580231
2.48E-05,0.85689797,0.795057439,0.948297734
2.56E-05,0.852556462,0.791778734,0.968904902
2.64E-05,0.854387395,0.794417383,0.958225975
2.72E-05,0.844875669,0.784005376,0.984203944
2.80E-05,0.840491809,0.782637141,0.951896109
2.88E-05,0.837202753,0.787056016,0.934798623
2.96E-05,0.835076827,0.780343494,0.959908869
3.04E-05,0.829963283,0.768697682,0.945265804
3.12E-05,0.831254344,0.760365427,1.001565187
3.20E-05,0.832379074,0.766980122,0.993065074
3.36E-05,0.824215422,0.761224736,0.944338594
3.52E-05,0.820913584,0.755214856,0.919360213
3.68E-05,0.816288575,0.747638742,0.960190993
3.84E-05,0.808679388,0.739487136,0.943233088
4.00E-05,0.805176738,0.739132731,0.921828112
4.16E-05,0.800130495,0.738775749,0.937537827
4.32E-05,0.794379212,0.731146171,0.929609684
4.48E-05,0.793659325,0.723697868,0.903762437
4.64E-05,0.782940058,0.719067638,0.927995202
