t,GTP_EEA1,GTP_EEA1_2uMRab5GTP_Cy1_45
2.00E-07,0.953501856,0.98582583
4.00E-07,1.053501251,0.953369642
6.00E-07,1.030831116,1.039168316561797090e
8.00E-07,1.081072422,0.926860741
1.00E-06,1.08749931,1.015633068050440624e
1.20E-06,1.049919293,0.889562747
1.40E-06,0.950040435,1.065297555334245638e
1.60E-06,1.046753166,1.034855891389249827e
1.80E-06,1.023025522,1.038710286068639688e
2.00E-06,1.029772818,0.99749993
2.20E-06,0.974473087,1.048774452675646174e
2.40E-06,1.048064591,0.989654105
2.60E-06,0.935569669,1.002195186430212770e
2.80E-06,0.895044363,0.959253196
3.00E-06,1.046885952,0.98018068
3.20E-06,0.98833812,1.136599568417749229e
3.40E-06,1.048542576,0.924817749
3.60E-06,0.947304303,0.869661944
3.80E-06,0.917205207,1.086564728140491098e
4.00E-06,0.99535135,0.960738912
4.20E-06,0.97191015,0.985520803
4.40E-06,0.979834892,0.872925715
4.60E-06,0.895494723,0.969924186
4.80E-06,1.08837926,1.021806588179616115e
5.00E-06,1.042125744,1.050252448236095537e
5.20E-06,0.992047563,0.940768803
5.40E-06,0.907601152,0.958885985
5.60E-06,1.018815373,0.908045429
5.80E-06,0.901850561,0.925994277
6.00E-06,0.92527981,1.002089625191561861e
6.20E-06,0.954845148,1.049926737876143878e
6.40E-06,0.958615401,1.009593532215257383e
6.60E-06,0.972599212,1.038551497485774355e
6.80E-06,1.00739291,0.938959637
7.00E-06,1.092924077,0.947071787
7.20E-06,1.015158538,0.998794849
7.40E-06,1.000371501,1.002057530293530396e
7.60E-06,0.86075193,0.958223732
7.80E-06,1.00195672,0.913555241
8.00E-06,0.898699267,0.98119267
8.40E-06,1.004776196,0.988802461
8.80E-06,0.982151453,0.98812262
9.20E-06,0.971541621,0.935903826
9.60E-06,0.997490531,0.961766301
1.00E-05,0.970587477,1.016251603257719571e
1.04E-05,0.994410802,0.927944419
1.08E-05,1.016991321,0.946929347
1.12E-05,1.00268873,0.912991501
1.16E-05,0.929289761,0.925623984
1.20E-05,0.881875269,0.917377818
1.24E-05,0.988685665,0.917518721
1.28E-05,1.01161179,0.985077971
1.32E-05,0.955020731,0.956085758
1.36E-05,0.983412729,0.97378018
1.40E-05,0.963239794,0.856356235
1.44E-05,1.016105244,0.911666726
1.48E-05,1.010987916,0.962863168
1.52E-05,0.958173722,0.958642839
1.56E-05,0.948782501,0.964093066
1.60E-05,0.920960476,0.972393357
1.68E-05,0.984057336,0.951067675
1.76E-05,0.962517278,0.947064007
1.84E-05,0.901188935,0.927021689
1.92E-05,0.959749623,0.929184281
2.00E-05,0.917208436,1.009500745760368634e
2.08E-05,0.929907096,0.926539908
2.16E-05,0.976691985,0.913395443
2.24E-05,0.916730449,0.976747238
2.32E-05,0.942610049,0.990262188
2.40E-05,0.968876295,0.90706326
2.48E-05,0.91910721,0.937574817
2.56E-05,0.953869789,0.93742813
2.64E-05,0.955705597,0.921700026
2.72E-05,0.927002489,0.928723956
2.80E-05,0.990851801,0.92455123
2.88E-05,0.926469328,0.958218974
2.96E-05,0.944510859,0.957056157
3.04E-05,0.937007525,0.881528517
3.12E-05,0.939720333,0.904990003
3.20E-05,0.966155272,0.909802647
3.36E-05,0.985564536,0.945393942
3.52E-05,0.941750963,0.89467571
3.68E-05,0.897332758,0.945672681
3.84E-05,0.962893517,0.892415438
4.00E-05,0.908974421,0.889602546
4.16E-05,0.884728664,0.957557482
4.32E-05,0.905873894,0.932948798
4.48E-05,0.938652564,0.957333284
4.64E-05,0.921648875,0.876732334
4.80E-05,0.942572979,0.864345679
4.96E-05,0.889203836,0.913393816
5.12E-05,0.932381749,0.882227962
5.28E-05,0.900836674,0.941827414
5.44E-05,0.915980297,0.868079578
5.60E-05,0.898590111,0.897749391
5.76E-05,0.927000338,0.884576819
5.92E-05,0.925837212,0.863603119
6.08E-05,0.919612734,0.914438306
6.24E-05,0.896942304,0.886280709
6.40E-05,0.878681098,0.908342372
6.72E-05,0.912044446,0.881156829
7.04E-05,0.889730081,0.87538738
7.36E-05,0.893544468,0.878484699
7.68E-05,0.899734787,0.874627875
8.00E-05,0.869260924,0.862726463
8.32E-05,0.897724193,0.872279691
8.64E-05,0.890684463,0.891751195
8.96E-05,0.878182123,0.861322582
9.28E-05,0.868848434,0.866483839
9.60E-05,0.848929686,0.871789169
9.92E-05,0.886229851,0.885051196
0.0001024,0.884957415,0.856800975
0.0001056,0.862633026,0.84272957
0.0001088,0.832084013,0.845934156
0.000112,0.851891295,0.845794299
0.0001152,0.8351948,0.84078667
0.0001184,0.828865964,0.845558164
