t,GTP_EEA1,GTP_EEA1_2uMRab5GTP_Cy1_45,GTP_EEA1_2uMRab5GTP_Cy1_60,GTP_EEA1_2uMRab5GTP_Cy1_75,GTP_EEA1_2uMRab5GTP_Cy1_90,GTP_EEA1_2uMRab5GTP_Cy1_105,GTP_EEA1_2uMRab5GTP_Cy2_45,GTP_EEA1_2uMRab5GTP_Cy2_60,GTP_EEA1_2uMRab5GTP_Cy2_75,GTP_EEA1_2uMRab5GTP_Cy2_90,GTP_EEA1_2uMRab5GTP_Cy2_105
2.00E-07,0.953501856,0.98582583,1.034124130046398804e,0.98824449,1.003078695941476806e,1.046722952284507402e,1.059093883031066330e,1.080517865330673288e,1.046584176028244828e,1.046397691420058784e,1.122582951009349017e
4.00E-07,1.053501251,0.953369642,0.966281301,1.001124050647465014e,1.054488925077927908e,1.049200053649697928e,0.953143388,1.006522767222848502e,1.008889005841365760e,1.041917980384529319e,1.068024232034564314e
6.00E-07,1.030831116,1.039168316561797090e,1.064397032811831734e,1.066954344373411523e,1.143139995560391364e,1.104894744143602114e,1.160029395337022873e,1.157309440611562046e,1.117338093101341023e,1.099348790346197369e,1.147499159875592811e
8.00E-07,1.081072422,0.926860741,0.959316101,0.962444893,0.95645358,0.851664767,1.015549358593972551e,1.058524075359627004e,1.083311512957444211e,1.052557838071051188e,1.119355973787694580e
1.00E-06,1.08749931,1.015633068050440624e,1.019436837341009872e,1.079493752793994066e,1.060290721515781076e,1.063137632728155202e,1.048203722771372748e,1.107558621025969359e,1.035331937169979177e,1.022125682828936677e,1.096961510470388257e
1.20E-06,1.049919293,0.889562747,0.954380858,0.984588023,0.936570569,0.988874262,1.027623752112986288e,1.041492206414252886e,1.014157531862589723e,1.037920909604295616e,1.054227114120022124e
1.40E-06,0.950040435,1.065297555334245638e,1.069172133469724617e,1.104753371525904582e,1.038613793131045737e,1.002900685860014907e,0.985889038,0.972200627,0.971143603,1.015016019998053798e,1.010866781998916331e
1.60E-06,1.046753166,1.034855891389249827e,1.010162724287009706e,0.974389061,0.955663785,0.929866737,0.993868709,0.974705461,0.973354624,0.939689326,1.031611124090403342e
1.80E-06,1.023025522,1.038710286068639688e,1.025411811683406116e,1.060080549621247314e,1.057604978767927584e,1.038138733578732431e,1.007335682360124718e,1.040720732768901868e,1.038687859676794112e,1.060843072576935331e,1.019103362931654821e
2.00E-06,1.029772818,0.99749993,0.955373419,0.983370219,0.929755351,0.961907939,0.944707087,0.947155557,0.986393915,0.976955187,0.937824759
2.20E-06,0.974473087,1.048774452675646174e,1.017885071882280945e,1.046810177002267306e,1.086411169795261866e,1.092717140039674018e,0.909671363,0.983581237,1.035100317721623586e,1.030735611989062495e,1.022491817966394212e
2.40E-06,1.048064591,0.989654105,0.96705493,0.960155122,0.992227732,0.973453448,1.085364620354328347e,1.088334057965524515e,1.111455500751876935e,0.989290705,0.981333305
2.60E-06,0.935569669,1.002195186430212770e,1.022053581153469892e,1.010958532341048821e,1.008367098040477083e,1.014145324089485323e,0.987589804,0.913157205,1.007385685608258807e,1.000387780963794659e,1.042643210342750315e
2.80E-06,0.895044363,0.959253196,0.921055718,0.885870018,0.945926275,0.970350111,0.916681471,0.859296296,0.911280117,0.953620898,0.951543215
3.00E-06,1.046885952,0.98018068,1.020621565547386256e,0.949342851,0.999410175,0.985666657,1.041898361917491300e,1.063482934766859067e,1.048147490208890531e,0.967272206,0.927860436
3.20E-06,0.98833812,1.136599568417749229e,1.070207107211398112e,1.032756454855737083e,1.041391871841720995e,1.058894991263792607e,0.812280845,0.766770979,0.836956273,0.936113442,0.956116357
3.40E-06,1.048542576,0.924817749,0.961000515,1.013044288530074111e,1.024613894088786337e,1.046517964178607762e,1.135658060160141591e,1.120976851040616173e,1.098660532659879951e,1.091808073639242149e,1.031992540873441389e
3.60E-06,0.947304303,0.869661944,0.909877194,0.91814503,0.943888939,0.891226622,1.040795601510020374e,1.084317372530727130e,1.054098133422918249e,1.058642461928511969e,0.974291133
3.80E-06,0.917205207,1.086564728140491098e,1.096856609339420086e,1.074001243454755672e,1.030537367579792640e,1.060049745604955795e,1.082873748944140679e,1.090353892592403451e,0.987881788,0.996761472,1.030673786726304719e
4.00E-06,0.99535135,0.960738912,0.979449924,0.922241306,0.948726279,0.922152006,0.979558134,0.945895969,0.889964691,0.92281715,0.930459546
4.20E-06,0.97191015,0.985520803,0.981616251,0.976788348,1.026118525527553560e,1.010097708050626819e,0.988372963,0.920036619,0.927410374,0.937396333,0.917100228
4.40E-06,0.979834892,0.872925715,0.840362484,0.882769964,0.899803008,0.951643232,0.854869381,0.861393415,0.902823577,0.896431894,0.871823039
4.60E-06,0.895494723,0.969924186,0.926420894,0.967938647,0.996826961,1.018044484994593768e,0.874740316,0.924736717,1.002351758696833350e,1.004285559710888176e,0.976123108
4.80E-06,1.08837926,1.021806588179616115e,1.008933197807283078e,0.919222756,0.949251333,0.946492889,0.994472776,1.053220731999129356e,1.003729688018090371e,1.048120681517572095e,0.976138161
5.00E-06,1.042125744,1.050252448236095537e,1.025260503229540765e,1.077631392334964744e,1.158371429106790362e,1.112335208344113813e,1.066206726155896067e,0.979815159,1.086355340441231165e,1.118416794995386487e,1.092909564060130290e
5.20E-06,0.992047563,0.940768803,0.943462145,1.018807279046561654e,1.042347344917973651e,1.065062974335689638e,0.861534431,0.962018913,0.974067746,1.014898288433257356e,1.010564599474131908e
