WV_488,EEA1_488_sample_1,EEA1_488_buffer_1,EEA1_488_sample_2,EEA1_488_buffer_2,EEA1_488_sample_3,EEA1_488_buffer_3,EEA1_Rab5GTP_488_sample_1,EEA1_Rab5GTP_488_buffer_1,EEA1_Rab5GTP_488_sample_2,EEA1_Rab5GTP_488_buffer_2,EEA1_Rab5GTP_488_sample_3,EEA1_Rab5GTP_488_buffer_3
504,3889,1336,3895,1406,3819,1394,3708,1257,3569,1222,3634,1273
506,3153,268,3103,285,3145,272,3013,277,2969,234,3024,258
508,3492,86,3310,84,3351,87,3200,81,3255,73,3268,79
510,3952,48,3882,50,3881,39,3668,46,3681,37,3679,42
512,4350,29,4251,37,4281,34,4097,28,4044,39,4099,36
514,4691,25,4568,33,4542,30,4391,28,4428,29,4471,32
516,4911,24,4815,23,4733,29,4492,26,4582,18,4546,24
518,5057,24,4932,31,4906,21,4674,38,4737,19,4692,25
520,4961,21,4847,20,5036,29,4690,25,4703,25,4707,20
522,4845,26,4821,26,4930,31,4563,20,4545,13,4654,22
524,4817,25,4681,19,4667,21,4419,22,4432,17,4437,18
526,4537,23,4463,28,4555,23,4290,20,4276,19,4256,26
528,4257,21,4216,27,4279,15,3964,26,4114,16,4014,22
530,3981,25,4002,17,3965,25,3839,25,3814,17,3737,18
532,3712,19,3653,21,3725,16,3473,20,3581,16,3496,29
534,3487,23,3400,27,3515,27,3249,17,3314,16,3277,20
536,3176,14,3174,27,3169,18,2997,19,2980,17,3040,17
538,2984,20,2895,23,3016,14,2762,17,2775,24,2793,23
540,2671,13,2720,27,2793,26,2593,24,2650,27,2597,20
542,2530,19,2506,19,2533,29,2442,19,2414,24,2399,21
544,2377,16,2350,19,2414,19,2197,22,2222,18,2261,28
546,2143,23,2077,14,2141,23,2035,12,2069,19,2086,25
548,2033,19,1985,26,2045,20,1879,18,1914,17,1910,22
550,1847,26,1853,19,1870,17,1789,20,1766,23,1779,23
552,1790,20,1751,28,1788,18,1709,24,1674,19,1690,26
554,1678,17,1634,21,1625,15,1600,25,1585,16,1594,22
556,1575,26,1549,11,1599,27,1473,17,1505,15,1480,16
558,1497,25,1466,22,1499,21,1404,17,1420,12,1389,21
560,1389,20,1343,15,1351,19,1313,24,1296,19,1336,17
562,1329,18,1269,21,1275,26,1254,22,1287,18,1247,17
564,1241,16,1213,19,1236,19,1128,19,1125,22,1176,21
566,1107,18,1121,15,1081,17,1078,10,1066,17,1066,21
568,1057,20,1012,14,1029,18,983,19,1018,17,985,21
570,957,11,982,30,948,18,947,20,984,26,942,12
572,909,11,869,14,923,24,842,17,868,15,876,28
574,844,15,862,22,846,15,786,19,755,23,812,23
576,756,20,735,26,750,31,721,13,720,9,714,24
578,716,17,686,15,710,21,673,17,663,20,695,28
580,645,16,628,27,682,15,620,21,634,24,628,21
582,600,17,605,17,603,21,573,18,596,26,588,27
584,543,21,534,26,557,17,503,18,541,18,537,16
586,504,18,491,17,487,29,475,24,516,14,475,18
588,444,20,467,19,466,14,480,13,441,19,422,26
590,404,16,424,17,448,18,382,19,412,16,417,13
592,361,13,366,16,383,20,339,15,395,10,394,15
594,391,21,347,17,367,15,359,13,372,11,325,13
596,340,21,322,16,329,21,311,13,317,13,348,14
598,330,10,322,15,303,19,287,17,276,10,281,17
600,255,16,283,12,301,12,257,11,263,15,275,14
602,263,5,265,20,264,17,259,8,275,14,254,28
604,246,21,234,16,236,12,223,18,243,12,228,17
606,223,15,206,14,215,9,215,17,223,9,203,18
608,218,9,211,14,190,11,188,10,212,14,210,9
610,206,11,203,14,223,17,203,21,195,10,202,15
612,179,3,188,13,185,8,167,8,181,8,204,15
614,180,8,175,12,178,5,174,12,175,17,162,17
616,168,10,156,13,164,13,154,14,158,10,144,17
618,154,13,150,13,168,18,162,19,153,10,164,13
620,119,13,151,15,130,13,140,13,127,9,151,21
622,126,14,126,19,129,14,126,16,105,17,141,22
624,130,11,125,11,143,8,117,11,119,10,129,20
626,144,16,131,10,124,8,113,13,106,10,129,19
628,127,10,113,12,111,11,90,11,118,8,102,12
630,106,11,102,4,100,8,112,14,100,19,98,10
632,115,5,95,15,103,18,99,5,101,15,113,11
634,107,8,87,16,96,8,105,9,87,8,110,9
636,85,9,78,17,91,12,86,12,67,7,96,12
638,91,10,100,19,99,16,88,19,86,15,83,17
640,83,13,94,16,102,16,90,9,84,10,80,17
642,89,18,98,16,96,12,82,13,75,1,81,15
644,82,8,85,17,89,16,64,12,85,11,85,15
646,81,6,96,16,103,14,85,18,88,5,104,19
648,100,10,110,14,110,18,105,10,101,12,97,17
650,106,9,97,21,98,4,89,14,85,8,97,17
652,105,13,97,14,104,11,100,-2,99,14,91,21
