t,dsDNA488,dsDNA488647
2.00E-07,1.022352348,1.008476103
4.00E-07,0.996368945,1.025875862
6.00E-07,0.964817632,0.992488365
8.00E-07,1.008178446,0.999642292
1.00E-06,1.008227454,0.998845118
1.20E-06,0.953276656,0.978273394
1.40E-06,0.98644416,0.983247523
1.60E-06,0.985397766,0.872705974
1.80E-06,0.980763407,0.992000021
2.00E-06,0.964571079,0.986699547
2.20E-06,0.977115774,1.077018078
2.40E-06,0.981224526,1.152805926
2.60E-06,0.990958882,0.947874127
2.80E-06,0.979201067,1.014644743
3.00E-06,0.993189872,0.985963045
3.20E-06,0.98915781,0.955641807
3.40E-06,1.012647678,0.968152971
3.60E-06,0.982574383,0.977549244
3.80E-06,0.963497677,1.020012612
4.00E-06,0.954681041,0.97493724
4.20E-06,0.992929735,1.021619001
4.40E-06,0.952434626,0.973640307
4.60E-06,0.977237521,0.913201425
4.80E-06,0.971633621,1.012641174
5.00E-06,0.989504841,0.993960901
5.20E-06,0.970674471,1.018750237
5.40E-06,0.967413864,1.036978757
5.60E-06,0.971240831,0.90469865
5.80E-06,0.951872596,0.996970398
6.00E-06,0.958298664,0.912445533
6.20E-06,0.960783405,0.995600284
6.40E-06,0.961391032,0.997799316
6.60E-06,0.952189075,0.998655129
6.80E-06,0.961947758,0.930226522
7.00E-06,0.978178973,0.974962728
7.20E-06,0.963289957,0.923935913
7.40E-06,0.952851176,0.928549766
7.60E-06,0.934235346,1.07129087
7.80E-06,0.949111698,0.889787989
8.00E-06,0.949009272,0.931544408
8.40E-06,0.930955012,0.949969329
8.80E-06,0.947704607,1.016010166
9.20E-06,0.949392185,1.00753929
9.60E-06,0.930802848,0.9191058
1.00E-05,0.932150567,0.942619783
1.04E-05,0.935867422,0.97415711
1.08E-05,0.937676125,0.944718894
1.12E-05,0.960066288,1.008881257
1.16E-05,0.931539015,0.946500417
1.20E-05,0.931168983,0.883654219
1.24E-05,0.930206586,0.985043746
1.28E-05,0.926332776,0.968904798
1.32E-05,0.932450457,0.95212489
