t,EEA1,EEA1_2uM_Rab5GDP
2.00E-07,1.074557202,1.017267666
4.00E-07,1.024407302,1.064204128
6.00E-07,1.026787853,1.08705047
8.00E-07,0.999090604,0.985408154
1.00E-06,0.935765493,1.035193522
1.20E-06,1.048375793,0.959075643
1.40E-06,0.971280166,0.983402891
1.60E-06,1.041660612,0.987917206
1.80E-06,0.970934461,1.017353045
2.00E-06,1.077102487,0.966411273
2.20E-06,1.000778308,0.915997942
2.40E-06,1.048592845,0.997872514
2.60E-06,1.019048688,0.986031378
2.80E-06,0.948406464,1.053195691
3.00E-06,1.010409483,0.960798798
3.20E-06,0.994149504,1.046543792
3.40E-06,0.928489895,1.042202929
3.60E-06,1.044239444,1.049243935
3.80E-06,0.988496107,0.955369349
4.00E-06,1.00203085,0.951998206
4.20E-06,0.992883914,0.901323322
4.40E-06,0.905290136,0.963141976
4.60E-06,0.894826402,1.044142384
4.80E-06,0.955594984,0.996424338
5.00E-06,1.010638807,0.966052276
5.20E-06,0.914234458,1.039367575
5.40E-06,0.912947782,1.060617342
5.60E-06,1.050229931,0.989399157
5.80E-06,0.95407463,0.893534566
6.00E-06,1.02018793,1.010759357
6.20E-06,0.976435354,0.999047411
6.40E-06,0.955491806,0.947513695
6.60E-06,0.97355853,0.995988923
6.80E-06,0.965430099,0.990655489
7.00E-06,1.0794127,0.879447429
7.20E-06,1.090568766,1.023519603
7.40E-06,1.049948689,0.90755326
7.60E-06,1.042502046,1.052831859
7.80E-06,1.009274828,0.990156235
8.00E-06,0.884774698,0.99718023
8.40E-06,0.975937616,1.011445936
8.80E-06,0.924220465,0.972611817
9.20E-06,1.004675101,0.985818011
9.60E-06,0.987855402,0.99872123
1.00E-05,0.960037124,1.003879146
1.04E-05,1.008856701,0.95396227
1.08E-05,1.015912841,0.970076078
1.12E-05,1.000523386,0.994326312
1.16E-05,0.974104568,0.983137744
1.20E-05,0.982027828,0.969118465
1.24E-05,0.981477985,1.016885696
1.28E-05,0.942453898,1.011287051
1.32E-05,0.922561334,0.992906631
1.36E-05,0.996412528,0.988606515
1.40E-05,1.040666856,0.958738652
1.44E-05,0.933551144,1.020242081
1.48E-05,0.945077986,0.966778907
1.52E-05,0.971035975,1.021376751
1.56E-05,1.005618103,0.9868265
1.60E-05,0.958596131,0.991782294
1.68E-05,0.959573003,0.978099733
1.76E-05,0.990909722,0.991688501
1.84E-05,0.972503371,0.984576206
1.92E-05,0.967085317,0.938907964
2.00E-05,0.970335842,0.96308682
2.08E-05,0.959919842,1.010133076
2.16E-05,0.979592482,0.959687447
2.24E-05,0.99989331,0.982736966
2.32E-05,0.983377309,0.961250894
2.40E-05,0.962629628,0.981453018
2.48E-05,0.947098341,0.989851069
2.56E-05,0.969284929,1.02550465
2.64E-05,0.959863208,0.971326731
2.72E-05,0.986948658,0.986821904
2.80E-05,0.954854629,0.964289285
2.88E-05,0.930540747,0.944546032
2.96E-05,0.956473817,0.949294193
3.04E-05,0.942305283,0.928198799
3.12E-05,1.002303703,0.954384783
3.20E-05,0.990398823,0.928250175
3.36E-05,0.940192415,0.936440355
3.52E-05,0.918631096,0.960545657
3.68E-05,0.958464431,0.939416303
3.84E-05,0.943666534,0.946731603
4.00E-05,0.919739768,0.950472421
4.16E-05,0.937920277,0.934525653
4.32E-05,0.930163968,0.974133063
4.48E-05,0.907284529,0.97566948
4.64E-05,0.929641133,0.952927188
4.80E-05,0.949565657,0.950743077
4.96E-05,0.947663453,0.944138887
5.12E-05,0.946642799,0.97449493
5.28E-05,0.951628425,0.962151013
5.44E-05,0.925717374,0.907641064
5.60E-05,0.883009333,0.912674755
5.76E-05,0.908409435,0.937169359
5.92E-05,0.932988687,0.939805483
6.08E-05,0.899954095,0.948265141
6.24E-05,0.945757149,0.920162766
6.40E-05,0.928909206,0.948935333
6.72E-05,0.917572939,0.94519174
7.04E-05,0.911951026,0.920523866
7.36E-05,0.93379725,0.937757971
7.68E-05,0.89969422,0.903159285
8.00E-05,0.911709899,0.933276445
8.32E-05,0.894307537,0.901158856
8.64E-05,0.895066951,0.904933515
8.96E-05,0.897440409,0.895926627
9.28E-05,0.902613837,0.91854623
9.60E-05,0.879535996,0.900857455
9.92E-05,0.896788012,0.887263373
0.0001024,0.895271917,0.912348254
0.0001056,0.895938857,0.898847704
0.0001088,0.862982691,0.894885868
0.000112,0.891682368,0.892043746
0.0001152,0.878643912,0.887491816
0.0001184,0.876720324,0.88536737
0.0001216,0.891899341,0.890632331
0.0001248,0.87175565,0.877585504
0.000128,0.860670835,0.867651807
